# 时间 t = 0.006001 s
# 列: x(m), rho(kg/m3), u(m/s), p(Pa), T(K), Y_H2, Y_H, Y_O, Y_O2, Y_OH
0.000000, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.768357e-22, 2.714843e-22, 2.263540e-01, 1.949461e-23
0.200401, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.768357e-22, 2.714843e-22, 2.263540e-01, 1.949461e-23
0.400802, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.768357e-22, 2.714843e-22, 2.263540e-01, 1.949461e-23
0.601202, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.768357e-22, 2.714843e-22, 2.263540e-01, 1.949461e-23
0.801603, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.768357e-22, 2.714843e-22, 2.263540e-01, 1.949461e-23
1.002004, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.768357e-22, 2.714843e-22, 2.263540e-01, 1.949461e-23
1.202405, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.768357e-22, 2.714843e-22, 2.263540e-01, 1.949461e-23
1.402806, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.768357e-22, 2.714843e-22, 2.263540e-01, 1.949461e-23
1.603206, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.768357e-22, 2.714843e-22, 2.263540e-01, 1.949461e-23
1.803607, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.768357e-22, 2.714843e-22, 2.263540e-01, 1.949461e-23
2.004008, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.768357e-22, 2.714843e-22, 2.263540e-01, 1.949461e-23
2.204409, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.768357e-22, 2.714843e-22, 2.263540e-01, 1.949461e-23
2.404810, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.768357e-22, 2.714843e-22, 2.263540e-01, 1.949461e-23
2.605210, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.768357e-22, 2.714843e-22, 2.263540e-01, 1.949461e-23
2.805611, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.768357e-22, 2.714843e-22, 2.263540e-01, 1.949461e-23
3.006012, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.768357e-22, 2.714843e-22, 2.263540e-01, 1.949461e-23
3.206413, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.768357e-22, 2.714843e-22, 2.263540e-01, 1.949461e-23
3.406814, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.768357e-22, 2.714843e-22, 2.263540e-01, 1.949461e-23
3.607214, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.768357e-22, 2.714843e-22, 2.263540e-01, 1.949461e-23
3.807615, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.768357e-22, 2.714843e-22, 2.263540e-01, 1.949461e-23
4.008016, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.768357e-22, 2.714843e-22, 2.263540e-01, 1.949461e-23
4.208417, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.768357e-22, 2.714843e-22, 2.263540e-01, 1.949461e-23
4.408818, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.768357e-22, 2.714843e-22, 2.263540e-01, 1.949461e-23
4.609218, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.768357e-22, 2.714843e-22, 2.263540e-01, 1.949461e-23
4.809619, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.768357e-22, 2.714843e-22, 2.263540e-01, 1.949461e-23
5.010020, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.768357e-22, 2.714843e-22, 2.263540e-01, 1.949461e-23
5.210421, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.768357e-22, 2.714843e-22, 2.263540e-01, 1.949461e-23
5.410822, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.768357e-22, 2.714843e-22, 2.263540e-01, 1.949461e-23
5.611222, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.768357e-22, 2.714843e-22, 2.263540e-01, 1.949461e-23
5.811623, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.768357e-22, 2.714843e-22, 2.263540e-01, 1.949461e-23
6.012024, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.768357e-22, 2.714843e-22, 2.263540e-01, 1.949461e-23
6.212425, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.768357e-22, 2.714843e-22, 2.263540e-01, 1.949461e-23
6.412826, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.768357e-22, 2.714843e-22, 2.263540e-01, 1.949461e-23
6.613226, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.768357e-22, 2.714843e-22, 2.263540e-01, 1.949461e-23
6.813627, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.768357e-22, 2.714843e-22, 2.263540e-01, 1.949461e-23
7.014028, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.768357e-22, 2.714843e-22, 2.263540e-01, 1.949461e-23
7.214429, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.768357e-22, 2.714843e-22, 2.263540e-01, 1.949461e-23
7.414830, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.768357e-22, 2.714843e-22, 2.263540e-01, 1.949461e-23
7.615230, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.768357e-22, 2.714843e-22, 2.263540e-01, 1.949461e-23
7.815631, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.768357e-22, 2.714843e-22, 2.263540e-01, 1.949461e-23
8.016032, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.768357e-22, 2.714843e-22, 2.263540e-01, 1.949461e-23
8.216433, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.768357e-22, 2.714843e-22, 2.263540e-01, 1.949461e-23
8.416834, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.768357e-22, 2.714843e-22, 2.263540e-01, 1.949461e-23
8.617234, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.768357e-22, 2.714843e-22, 2.263540e-01, 1.949461e-23
8.817635, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.768357e-22, 2.714843e-22, 2.263540e-01, 1.949461e-23
9.018036, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.768357e-22, 2.714843e-22, 2.263540e-01, 1.949461e-23
9.218437, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.768357e-22, 2.714843e-22, 2.263540e-01, 1.949461e-23
9.418838, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.768357e-22, 2.714843e-22, 2.263540e-01, 1.949461e-23
9.619238, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.768357e-22, 2.714843e-22, 2.263540e-01, 1.949461e-23
9.819639, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.768357e-22, 2.714843e-22, 2.263540e-01, 1.949461e-23
10.020040, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.768357e-22, 2.714843e-22, 2.263540e-01, 1.949461e-23
10.220441, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.768357e-22, 2.714843e-22, 2.263540e-01, 1.949461e-23
10.420842, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.768357e-22, 2.714843e-22, 2.263540e-01, 1.949461e-23
10.621242, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.768357e-22, 2.714843e-22, 2.263540e-01, 1.949461e-23
10.821643, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.768357e-22, 2.714843e-22, 2.263540e-01, 1.949461e-23
11.022044, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.768357e-22, 2.714843e-22, 2.263540e-01, 1.949461e-23
11.222445, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.768357e-22, 2.714843e-22, 2.263540e-01, 1.949461e-23
11.422846, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.768357e-22, 2.714843e-22, 2.263540e-01, 1.949461e-23
11.623246, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.768357e-22, 2.714843e-22, 2.263540e-01, 1.949461e-23
11.823647, 1.274208e+01, -8.797182e-15, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.768357e-22, 2.714843e-22, 2.263540e-01, 1.949461e-23
12.024048, 1.274208e+01, -1.132355e-13, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.768357e-22, 2.714843e-22, 2.263540e-01, 1.949461e-23
12.224449, 1.274208e+01, -6.651725e-13, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.768357e-22, 2.714843e-22, 2.263540e-01, 1.949461e-23
