# 时间 t = 0.010000 s
# 列: x(m), rho(kg/m3), u(m/s), p(Pa), T(K), Y_H2, Y_H, Y_O, Y_O2, Y_OH
0.000000, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.958745e-22, 2.767756e-22, 2.263540e-01, 1.988659e-23
0.200401, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.958745e-22, 2.767756e-22, 2.263540e-01, 1.988659e-23
0.400802, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.958745e-22, 2.767756e-22, 2.263540e-01, 1.988659e-23
0.601202, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.958745e-22, 2.767756e-22, 2.263540e-01, 1.988659e-23
0.801603, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.958745e-22, 2.767756e-22, 2.263540e-01, 1.988659e-23
1.002004, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.958745e-22, 2.767756e-22, 2.263540e-01, 1.988659e-23
1.202405, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.958745e-22, 2.767756e-22, 2.263540e-01, 1.988659e-23
1.402806, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.958745e-22, 2.767756e-22, 2.263540e-01, 1.988659e-23
1.603206, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.958745e-22, 2.767756e-22, 2.263540e-01, 1.988659e-23
1.803607, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.958745e-22, 2.767756e-22, 2.263540e-01, 1.988659e-23
2.004008, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.958745e-22, 2.767756e-22, 2.263540e-01, 1.988659e-23
2.204409, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.958745e-22, 2.767756e-22, 2.263540e-01, 1.988659e-23
2.404810, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.958745e-22, 2.767756e-22, 2.263540e-01, 1.988659e-23
2.605210, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.958745e-22, 2.767756e-22, 2.263540e-01, 1.988659e-23
2.805611, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.958745e-22, 2.767756e-22, 2.263540e-01, 1.988659e-23
3.006012, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.958745e-22, 2.767756e-22, 2.263540e-01, 1.988659e-23
3.206413, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.958745e-22, 2.767756e-22, 2.263540e-01, 1.988659e-23
3.406814, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.958745e-22, 2.767756e-22, 2.263540e-01, 1.988659e-23
3.607214, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.958745e-22, 2.767756e-22, 2.263540e-01, 1.988659e-23
3.807615, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.958745e-22, 2.767756e-22, 2.263540e-01, 1.988659e-23
4.008016, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.958745e-22, 2.767756e-22, 2.263540e-01, 1.988659e-23
4.208417, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.958745e-22, 2.767756e-22, 2.263540e-01, 1.988659e-23
4.408818, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.958745e-22, 2.767756e-22, 2.263540e-01, 1.988659e-23
4.609218, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.958745e-22, 2.767756e-22, 2.263540e-01, 1.988659e-23
4.809619, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.958745e-22, 2.767756e-22, 2.263540e-01, 1.988659e-23
5.010020, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.958745e-22, 2.767756e-22, 2.263540e-01, 1.988659e-23
5.210421, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.958745e-22, 2.767756e-22, 2.263540e-01, 1.988659e-23
5.410822, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.958745e-22, 2.767756e-22, 2.263540e-01, 1.988659e-23
5.611222, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.958745e-22, 2.767756e-22, 2.263540e-01, 1.988659e-23
5.811623, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.958745e-22, 2.767756e-22, 2.263540e-01, 1.988659e-23
6.012024, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.958745e-22, 2.767756e-22, 2.263540e-01, 1.988659e-23
6.212425, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.958745e-22, 2.767756e-22, 2.263540e-01, 1.988659e-23
6.412826, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.958745e-22, 2.767756e-22, 2.263540e-01, 1.988659e-23
6.613226, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.958745e-22, 2.767756e-22, 2.263540e-01, 1.988659e-23
6.813627, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.958745e-22, 2.767756e-22, 2.263540e-01, 1.988659e-23
7.014028, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.958745e-22, 2.767756e-22, 2.263540e-01, 1.988659e-23
7.214429, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.958745e-22, 2.767756e-22, 2.263540e-01, 1.988659e-23
7.414830, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.958745e-22, 2.767756e-22, 2.263540e-01, 1.988659e-23
7.615230, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.958745e-22, 2.767756e-22, 2.263540e-01, 1.988659e-23
7.815631, 1.274208e+01, 0.000000e+00, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.958745e-22, 2.767756e-22, 2.263540e-01, 1.988659e-23
8.016032, 1.274208e+01, -1.875839e-14, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.958745e-22, 2.767756e-22, 2.263540e-01, 1.988659e-23
8.216433, 1.274208e+01, -1.498517e-13, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.958745e-22, 2.767756e-22, 2.263540e-01, 1.988659e-23
8.416834, 1.274208e+01, -7.036316e-13, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.958745e-22, 2.767756e-22, 2.263540e-01, 1.988659e-23
8.617234, 1.274208e+01, -2.541230e-12, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.958745e-22, 2.767756e-22, 2.263540e-01, 1.988659e-23
8.817635, 1.274208e+01, -8.788776e-12, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.958745e-22, 2.767756e-22, 2.263540e-01, 1.988659e-23
9.018036, 1.274208e+01, -2.961816e-11, 3.039750e+06, 6.000000e+02, 2.852239e-02, 9.958745e-22, 2.767756e-22, 2.263540e-01, 1.988659e-23
